index	word	Adaptation	Mitigation	Non-climate
273	greenland	0.117600255	0.6761541	0.20624563
274	observed	0.100529395	0.6274011	0.27206954
275	fair	0.11810265	0.57346976	0.30842757
276	inevitably	0.13674027	0.65762407	0.20563559
277	costs	0.14806746	0.5989237	0.25300887
278	individuals	0.09642321	0.6450155	0.25856137
279	making	0.095598996	0.6306641	0.27373698
280	significant	0.13528521	0.653885	0.21082985
281	lower	0.15159728	0.6064104	0.24199237
282	dealing	0.10564453	0.68030345	0.21405202
283	cost	0.15118094	0.61690253	0.23191658
284	offset	0.12592348	0.65968317	0.21439333
285	maximising	0.14241293	0.5931356	0.2644514
286	opportunities	0.10210362	0.6813426	0.21655372
287	transition	0.14909735	0.5856526	0.26525012
288	still	0.13023093	0.57651645	0.29325268
289	real	0.14774261	0.5754319	0.27682555
290	committed	0.14272116	0.5932841	0.26399472
291	preventing	0.09911581	0.64070684	0.26017728
292	unnecessary	0.09333121	0.63229346	0.27437535
293	burden	0.13727212	0.56604785	0.29668006
294	sharing	0.11418469	0.5700574	0.31575793
295	fairly	0.14779846	0.56977415	0.28242743
296	underpinned	0.10213056	0.6959274	0.20194206
297	continued	0.15282069	0.6062697	0.24090956
298	commitment	0.13833648	0.5969971	0.26466635
299	open	0.1085891	0.59646547	0.29494545
300	transparent	0.13792774	0.54582936	0.31624287
301	operations	0.10577818	0.68342966	0.21079215
302	look	0.11752697	0.5725266	0.30994642
303	long	0.09970373	0.6517179	0.24857835
304	term	0.10609129	0.67132556	0.22258316
305	economic	0.09981254	0.6079511	0.29223636
306	environmental	0.13252269	0.6708341	0.19664319
307	social	0.101213954	0.61135954	0.28742656
308	challenges	0.14254183	0.59385175	0.2636065
309	taking	0.105606295	0.65777516	0.23661858
310	decarbonising	0.15641618	0.6034947	0.24008912
311	finding	0.12183368	0.576806	0.30136034
312	right	0.11451863	0.5747624	0.31071898
313	balance	0.13868468	0.5554294	0.3058859
314	benefits	0.096723944	0.6480489	0.25522712
315	need	0.10560658	0.6845265	0.20986694
316	supply	0.11706942	0.6760993	0.20683123
317	give	0.110027425	0.58452547	0.30544713
318	details	0.15844682	0.5968977	0.24465549
319	environment	0.10367543	0.6960974	0.20022722
320	white	0.14259134	0.59013665	0.26727203
321	paper	0.10768388	0.69329125	0.19902492
322	outward	0.15590179	0.6033087	0.24078955
323	looking	0.10848888	0.59307414	0.298437
324	problem	0.11363097	0.56894857	0.31742045
325	solution	0.14004165	0.54850596	0.31145233
326	support	0.13620907	0.5569985	0.30679247
327	overseas	0.14275794	0.65376747	0.20347455
328	help	0.10185645	0.60859966	0.28954393
329	demonstrate	0.16099013	0.60870117	0.23030868
330	other	0.12109579	0.6485784	0.23032588
331	stand	0.13009496	0.65766704	0.21223804
332	alongside	0.14015833	0.5557681	0.30407357
333	negotiating	0.15444992	0.572932	0.27261811
334	deal	0.1429726	0.55862033	0.2984071
335	requiring	0.13886802	0.62212974	0.23900232
336	budgets	0.15815625	0.6047733	0.23707044
337	set	0.15311222	0.59182936	0.2550584
338	budget	0.15430586	0.59722316	0.24847095
339	periods	0.10798522	0.6808346	0.21118017
340	ahead	0.1141986	0.6329995	0.25280187
341	always	0.10714073	0.58187014	0.3109892
342	clear	0.12395718	0.5858768	0.290166
343	uks	0.1424736	0.54735893	0.31016758
344	next	0.12648073	0.6602027	0.21331659
345	setting	0.12995613	0.6289748	0.24106905
346	trajectory	0.16302913	0.6021078	0.23486303
347	2020	0.15027504	0.6163224	0.23340257
348	2050	0.15306525	0.6134029	0.23353182
349	targets	0.1532969	0.6176222	0.22908098
350	firm	0.11714812	0.55925554	0.32359633
351	legally	0.14112894	0.6423282	0.21654288
352	binding	0.1346244	0.65059936	0.21477625
353	framework	0.11933071	0.6347055	0.24596378
354	ensure	0.10870382	0.6440278	0.24726836
355	really	0.13591266	0.5636142	0.30047306
356	happens	0.102042064	0.64983577	0.24812214
357	leaves	0.13501288	0.66927665	0.19571048
358	important	0.11674334	0.6683102	0.21494639
359	choices	0.14093357	0.55955887	0.29950753
360	principles	0.09935082	0.62008905	0.28056014
361	overarching	0.10297476	0.6678743	0.22915089
362	number	0.110890955	0.62861896	0.26049012
363	guide	0.16239189	0.6059065	0.23170161
364	take	0.10952202	0.66033685	0.23014113
365	tackling	0.11489149	0.56104773	0.3240608
366	demonstrating	0.16120626	0.6027222	0.2360715
367	responsibility	0.099986434	0.6405083	0.25950527
368	cental	0.15963025	0.6094251	0.23094456
369	local	0.09855174	0.64212227	0.25932598
370	wider	0.10762786	0.65853757	0.23383461
371	facilitative	0.15718234	0.61852187	0.2242958
372	role	0.11532382	0.57606244	0.30861372
373	should	0.1238875	0.549913	0.32619944
374	legal	0.113680236	0.5737158	0.31260395
375	market	0.14513598	0.573284	0.28158003
376	frameworks	0.12560359	0.5890612	0.2853352
377	provide	0.12443568	0.5682224	0.30734187
378	information	0.11495529	0.62738866	0.25765598
379	enable	0.14865029	0.5695479	0.28180173
380	households	0.10081144	0.6698093	0.22937922
381	inclusive	0.16203415	0.6137486	0.22421724
382	efforts	0.12282921	0.642121	0.2350498
383	cut	0.15004931	0.6027938	0.24715684
384	forced	0.12348525	0.6286601	0.24785465
385	top	0.11665135	0.58351797	0.29983068
386	down	0.14681752	0.5753511	0.27783147
387	enthusing	0.15367772	0.6190646	0.22725765
388	line	0.13007018	0.6196531	0.2502767
389	localism	0.14915334	0.62226534	0.22858128
390	alone	0.14243913	0.62934685	0.22821409
391	cope	0.103712924	0.69337416	0.20291299
392	generation	0.15562743	0.60820633	0.23616622
393	mix	0.15476352	0.6075915	0.237645
394	ccs	0.16250604	0.6054257	0.2320682
395	technology	0.15073963	0.57753	0.27173036
396	capable	0.15711565	0.6055973	0.23728704
397	locking	0.13493764	0.615957	0.24910529
398	reusing	0.13464084	0.6146178	0.25074124
399	far	0.1115113	0.5890165	0.2994722
400	possible	0.13495809	0.6084249	0.25661695
401	generated	0.15852477	0.607853	0.2336222
402	much	0.12638338	0.59962624	0.2739904
403	2030	0.15431017	0.61326134	0.23242854
404	excess	0.15168531	0.6149656	0.23334908
405	billion	0.103401154	0.61917514	0.27742368
406	investment	0.14209165	0.6099127	0.24799566
407	transmission	0.15704076	0.61324376	0.22971556
408	distribution	0.10475982	0.69177336	0.20346685
409	half	0.12125142	0.578565	0.3001836
410	vast	0.14322759	0.5667625	0.2900099
411	majority	0.14327385	0.61047703	0.24624917
412	relying	0.13006528	0.5897473	0.28018737
413	boilers	0.15703914	0.60719085	0.23577009
414	stock	0.11182615	0.6881446	0.20002922
415	poorly	0.111575074	0.59818476	0.29024023
416	inefficient	0.0998655	0.64399004	0.25614446
417	huge	0.12635134	0.5497894	0.3238592
418	opportunity	0.09854287	0.62209135	0.2793658
419	here	0.10690195	0.5844646	0.30863345
420	only	0.14119999	0.57386	0.2849401
421	harmful	0.103289254	0.6732475	0.2234632
422	pollutants	0.104904555	0.6863	0.20879547
423	also	0.11674648	0.64022136	0.24303222
424	save	0.14137825	0.5979177	0.26070404
425	money	0.13989149	0.53503394	0.32507452
426	effective	0.15151854	0.6168106	0.23167087
427	come	0.15139703	0.5711552	0.27744776
428	insulation	0.1558117	0.60861987	0.23556836
429	replacing	0.12997082	0.5576035	0.31242564
430	heating	0.15549731	0.60872936	0.23577338
431	systems	0.12494122	0.62175393	0.2533048
432	buildings	0.1290795	0.6685483	0.20237218
433	being	0.10069112	0.67786306	0.22144584
434	built	0.12426659	0.67626673	0.19946663
435	future	0.11108367	0.68459004	0.20432635
436	efficient	0.13818632	0.65299195	0.2088218
437	introducing	0.11341903	0.57143545	0.3151455
438	efficiency	0.15074368	0.6243767	0.22487962
439	standards	0.13707477	0.5909596	0.27196556
440	2010	0.13010697	0.6486261	0.2212669
441	published	0.12246305	0.66506946	0.21246757
442	pathways	0.15665516	0.59536254	0.24798231
443	analysis	0.13069186	0.6673013	0.20200685
444	looked	0.11405952	0.5745716	0.31136882
445	detail	0.15138212	0.5917456	0.2568723
446	have	0.1163717	0.5880385	0.29558972
447	order	0.11093777	0.687174	0.20188816
448	report	0.10753815	0.68439925	0.20806248
449	showed	0.11763047	0.6684911	0.21387835
450	many	0.102112524	0.6341917	0.2636958
451	different	0.12345917	0.60890687	0.26763397
452	ways	0.108700335	0.58050746	0.31079218
453	done	0.119385436	0.58214635	0.29846826
454	common	0.11271186	0.5752129	0.31207523
455	themes	0.10638046	0.6916132	0.2020063
456	emerge	0.15791783	0.607869	0.23421317
457	various	0.10423981	0.69054276	0.20521745
458	solutions	0.14280923	0.5404188	0.31677195
459	explored	0.152201	0.6214532	0.22634582
460	combined	0.104304984	0.67510533	0.22058968
461	evidence	0.11446559	0.6784834	0.20705102
462	suggest	0.13753054	0.64355725	0.21891217
463	responsible	0.13415366	0.54520667	0.32063955
464	critical	0.104557514	0.6684057	0.22703677
465	approachchapter	0.15945384	0.6026771	0.23786898
466	impact	0.116724655	0.64747447	0.23580083
467	sectors	0.10230405	0.6653177	0.23237824
468	become	0.12500001	0.56181294	0.313187
469	agriculture	0.12164555	0.67858094	0.19977355
470	processes	0.14988011	0.61896914	0.23115079
471	grow	0.13771753	0.5897668	0.27251568
472	steadily	0.14139093	0.5710698	0.28753936
473	proportion	0.10596179	0.5888466	0.3051915
474	total	0.15384345	0.6108128	0.23534375
475	essential	0.10590062	0.5821922	0.31190714
